publishedAt,clean_title,neg,neu,pos,compound,predicted_label,date
2021-02-08 20:38:14,FOREX Dollar steady after Friday s U S jobs related losses bitcoin soars,0.033,0.098,0.869,0.9984,pos,2021-02-08
2021-02-08 16:24:14,Bitcoin price soars How much 100 would be worth today if you had invested earlier,0.0,0.151,0.849,0.9985,pos,2021-02-08
2021-02-08 19:24:14,What is Dogecoin the joke crypto loved by Elon Musk and growing faster than Bitcoin,0.0,0.606,0.394,0.7783,pos,2021-02-08
2021-02-08 18:24:14,Explainer Elon Musk loves it So what s all the buzz about bitcoin,0.0,0.748,0.252,0.5719,pos,2021-02-08
2021-02-08 17:24:14,Bitcoin Price Predictions Where Will BTC Go After Tesla Fueled Rally,0.0,0.385,0.615,0.9682,pos,2021-02-08
2021-02-08 17:24:14,Bitcoin jumps to record high after Tesla invests 1 5B accepts cryptocurrency,0.0,0.103,0.897,0.9983,pos,2021-02-08
2021-02-08 14:24:14,Bitcoin Jumps 10 to Record High on Tesla Investment News,0.0,0.107,0.893,0.9982,pos,2021-02-08
2021-02-08 13:24:14,Bitcoin Hits New Record High Over 43K on Tesla News,0.0,0.36,0.64,0.9682,pos,2021-02-08
2021-02-08 16:24:14,Bitcoin surges to all time high as Tesla invests 1 5B,0.0,0.36,0.64,0.9682,pos,2021-02-08
2021-02-08 09:24:14,CME Ethereum futures go live Bitcoin caps its best week ever 5 things to watch this week,0.0,0.781,0.219,0.6369,pos,2021-02-08
2021-02-08 15:24:14,Bitcoin jumps to record 44 000 as Tesla invests 1 5 billion,0.0,0.15,0.85,0.997,pos,2021-02-08
2021-02-08 14:24:14,Bitcoin Price Alert Tesla s 1 5B Purchase and Payment Promise Send the Crypto Soaring,0.0,0.117,0.883,0.9986,pos,2021-02-08
2021-02-08 13:24:14,Bitcoin hits 43K all time high as Tesla invests 1 5 billion in BTC,0.0,0.407,0.593,0.9682,pos,2021-02-08
2021-02-08 19:24:14,Bitcoin surges to record high as Tesla announces it has invested 1 5bn and will take it as payment,0.0,0.515,0.485,0.9682,pos,2021-02-08
2021-02-08 11:24:14,Bitcoin Gets Support From Mexico s Third Richest Person Billionaire Follows Elon Musk s Move,0.0,0.643,0.357,0.7269,pos,2021-02-08
2021-02-08 14:24:14,Cryptocurrency live Latest as bitcoin hits new all time high after massive Tesla investment,0.0,0.448,0.552,0.9682,pos,2021-02-08
2021-02-08 13:24:14,Bitcoin Soars After Elon Musk Says Tesla Invested 1 5billion in BTC,0.0,0.123,0.877,0.9985,pos,2021-02-08
2021-02-08 15:24:14,Bitcoin jumps to record 44 000 as Tesla invests 1 5 billion,0.0,0.15,0.85,0.997,pos,2021-02-08
2021-02-08 17:24:14,Bitcoin soars to all time high as Musk s Tesla says it bought 1 5 billion,0.0,0.112,0.888,0.999,pos,2021-02-08
2021-02-08 15:24:14,Bitcoin soars to all time high as Musk s Tesla says it bought 1 5 billion,0.0,0.112,0.888,0.999,pos,2021-02-08
2021-02-08 13:24:14,Bitcoin soars 15 after Tesla says will accept it as payment,0.0,0.109,0.891,0.9985,pos,2021-02-08
2021-02-08 14:24:14,Bitcoin retests 40 000 as active addresses hit new all time high,0.0,0.348,0.652,0.9741,pos,2021-02-08
2021-02-08 05:24:14,Tesla s Bitcoin Buy Is a Reckless Destructive Troll,0.573,0.427,0.0,-0.7717,neg,2021-02-08
2021-02-08 15:24:14,Bitcoin reaches all time high after Tesla discloses 1 5 billion purchase,0.0,0.317,0.683,0.969,pos,2021-02-08
2021-02-08 19:24:14,Tesla s Buying of Bitcoin Briefly Made Bitcoin More Valuable Than Tesla,0.0,0.385,0.615,0.9545,pos,2021-02-08
2021-02-08 05:24:14,Bitcoin Has Rallied More Than 50 This Year After Hitting A Fresh High,0.0,0.353,0.647,0.9729,pos,2021-02-08
2021-02-08 05:24:14,Bitcoin Soars To New High After Tesla Says It Invested 1 5 Billion,0.0,0.094,0.906,0.999,pos,2021-02-08
2021-02-08 14:24:14,Bitcoin hits record high after Tesla invests 1 5bn live updates,0.0,0.36,0.64,0.9682,pos,2021-02-08
2021-02-08 13:24:14,Bitcoin spikes 13 to record high after Tesla says it invested 1 5 billion in the cryptocurrency,0.0,0.467,0.533,0.9682,pos,2021-02-08
2021-02-08 05:24:14,Bitcoin Climbs 11 In Rally By Investing com,0.0,0.304,0.696,0.9682,pos,2021-02-08
2021-02-08 05:24:14,As Bitcoin Hits Record High Experts Say Others Will Follow Tesla s Bitcoin Bet By Investing com,0.0,0.484,0.516,0.9682,pos,2021-02-08
2021-02-08 18:24:14,EXPLAINER Elon Musk loves it So what s all the buzz about bitcoin,0.0,0.748,0.252,0.5719,pos,2021-02-08
2021-02-08 14:24:14,Bitcoin jumps 10 to record high on Tesla investment news,0.0,0.107,0.893,0.9982,pos,2021-02-08
2021-02-08 17:24:14,Bitcoin reaches all time high of 44 000 following Tesla s 1 5 billion investment,0.0,0.368,0.632,0.969,pos,2021-02-08
2021-02-08 15:24:14,Bitcoin reaches all time high after Tesla discloses 1 5 billion purchase,0.0,0.317,0.683,0.969,pos,2021-02-08
2021-02-08 05:24:14,Bitcoin Climbs 11 42 In Bullish Trade,0.0,0.105,0.895,0.997,pos,2021-02-08
2021-02-08 13:24:14,UPDATE 1 Bitcoin jumps 10 to record high on Tesla investment news,0.0,0.118,0.882,0.9982,pos,2021-02-08
2021-02-08 13:24:14,Bitcoin jumps 10 to record high on Tesla investment news,0.0,0.107,0.893,0.9982,pos,2021-02-08
2021-02-08 18:24:14,EXPLAINER Elon Musk loves it So what s all the buzz about bitcoin,0.0,0.748,0.252,0.5719,pos,2021-02-08
2021-02-08 17:24:14,Tesla buys 1 5 billion in bitcoin sending its price soaring,0.0,0.101,0.899,0.9985,pos,2021-02-08
2021-02-08 13:24:14,Tesla buys 1 5 billion in bitcoin as Elon Musk jumps on board with cryptocurrency,0.0,0.19,0.81,0.997,pos,2021-02-08
2021-02-08 17:24:14,Legendary investor Bill Miller has set up his flagship fund to buy into Grayscale Bitcoin Trust,0.0,0.549,0.451,0.8934,pos,2021-02-08
2021-02-08 15:24:14,Tesla Buys 1 5 Billion in Bitcoin Sending Its Price Soaring,0.0,0.101,0.899,0.9985,pos,2021-02-08
2021-02-08 15:24:14,Tesla Buys 1 5 Billion in Bitcoin Sending Its Price Soaring,0.0,0.101,0.899,0.9985,pos,2021-02-08
2021-02-08 13:24:14,Tesla TSLA buys 1 5B in bitcoin pushing the crypto to all time high plans to accept as payment,0.0,0.462,0.538,0.9738,pos,2021-02-08
2021-02-08 14:24:14,Tesla Sends Bitcoin Mooning Past 44K as Snoop Wins dogebowl CoinDesk,0.0,0.73,0.27,0.5719,pos,2021-02-08
2021-02-08 17:24:14,Tesla buys 1 5 billion in bitcoin sending its price soaring,0.0,0.101,0.899,0.9985,pos,2021-02-08
2021-02-08 05:24:14,Tesla invests 1 5 billion in Bitcoin as Elon Musk praises cryptocurrencies,0.0,0.726,0.274,0.5267,pos,2021-02-08
2021-02-08 18:24:14,Elon Musk s big Bitcoin buy may have been to distract from bad Tesla news,0.322,0.678,0.0,-0.6908,neg,2021-02-08
2021-02-08 17:24:14,Dow Jones Rises To Record High As Tesla Buys Bitcoin Market Rally Warning Signs,0.053,0.242,0.705,0.991,pos,2021-02-08
2021-02-08 15:24:14,Elon Musk s Latest Move Sends Bitcoin Soaring,0.0,0.078,0.922,0.9985,pos,2021-02-08
2021-02-08 11:24:14,GameStop s Plunge Could Spill Over Into Bitcoin,0.931,0.069,0.0,-0.9988,neg,2021-02-08
2021-02-08 15:24:14,Tesla Buys 1 5 Billion in Bitcoin Sending Its Price Soaring,0.0,0.101,0.899,0.9985,pos,2021-02-08
2021-02-08 15:24:14,Tesla Buys 1 5 Billion in Bitcoin Sending Its Price Soaring,0.0,0.101,0.899,0.9985,pos,2021-02-08
2021-02-08 18:24:14,Tesla Buying Bitcoin Is Bullish for Both TSLA Stock BTC,0.0,0.114,0.886,0.9979,pos,2021-02-08
