dateid,full_date,dd,mm,yy
1,01/01/2021,01,01,2021
2,02/01/2021,02,01,2021
3,03/01/2021,03,01,2021
4,04/01/2021,04,01,2021
5,05/01/2021,05,01,2021
6,06/01/2021,06,01,2021
7,07/01/2021,07,01,2021
8,08/01/2021,08,01,2021
9,09/01/2021,09,01,2021
10,10/01/2021,10,01,2021
11,11/01/2021,11,01,2021
12,12/01/2021,12,01,2021
13,13/01/2021,13,01,2021
14,14/01/2021,14,01,2021
15,15/01/2021,15,01,2021
16,16/01/2021,16,01,2021
17,17/01/2021,17,01,2021
18,18/01/2021,18,01,2021
19,19/01/2021,19,01,2021
20,20/01/2021,20,01,2021
21,21/01/2021,21,01,2021
22,22/01/2021,22,01,2021
23,23/01/2021,23,01,2021
24,24/01/2021,24,01,2021
25,25/01/2021,25,01,2021
26,26/01/2021,26,01,2021
27,27/01/2021,27,01,2021
28,28/01/2021,28,01,2021
29,29/01/2021,29,01,2021
30,30/01/2021,30,01,2021
31,31/01/2021,31,01,2021
32,01/02/2021,01,02,2021
33,02/02/2021,02,02,2021
34,03/02/2021,03,02,2021
35,04/02/2021,04,02,2021
36,05/02/2021,05,02,2021
37,06/02/2021,06,02,2021
38,07/02/2021,07,02,2021
39,08/02/2021,08,02,2021
40,09/02/2021,09,02,2021
41,10/02/2021,10,02,2021
42,11/02/2021,11,02,2021
43,12/02/2021,12,02,2021
44,13/02/2021,13,02,2021
45,14/02/2021,14,02,2021
46,15/02/2021,15,02,2021
47,16/02/2021,16,02,2021
48,17/02/2021,17,02,2021
49,18/02/2021,18,02,2021
50,19/02/2021,19,02,2021
51,20/02/2021,20,02,2021
52,21/02/2021,21,02,2021
53,22/02/2021,22,02,2021
54,23/02/2021,23,02,2021
55,24/02/2021,24,02,2021
56,25/02/2021,25,02,2021
57,26/02/2021,26,02,2021
58,27/02/2021,27,02,2021
59,28/02/2021,28,02,2021
60,01/03/2021,01,03,2021
61,02/03/2021,02,03,2021
62,03/03/2021,03,03,2021
63,04/03/2021,04,03,2021
64,05/03/2021,05,03,2021
65,06/03/2021,06,03,2021
66,07/03/2021,07,03,2021
67,08/03/2021,08,03,2021
68,09/03/2021,09,03,2021
69,10/03/2021,10,03,2021
70,11/03/2021,11,03,2021
71,12/03/2021,12,03,2021
72,13/03/2021,13,03,2021
73,14/03/2021,14,03,2021
74,15/03/2021,15,03,2021
75,16/03/2021,16,03,2021
76,17/03/2021,17,03,2021
77,18/03/2021,18,03,2021
78,19/03/2021,19,03,2021
79,20/03/2021,20,03,2021
80,21/03/2021,21,03,2021
81,22/03/2021,22,03,2021
82,23/03/2021,23,03,2021
83,24/03/2021,24,03,2021
84,25/03/2021,25,03,2021
85,26/03/2021,26,03,2021
86,27/03/2021,27,03,2021
87,28/03/2021,28,03,2021
88,29/03/2021,29,03,2021
89,30/03/2021,30,03,2021
90,31/03/2021,31,03,2021
91,01/04/2021,01,04,2021
92,02/04/2021,02,04,2021
93,03/04/2021,03,04,2021
94,04/04/2021,04,04,2021
95,05/04/2021,05,04,2021
96,06/04/2021,06,04,2021
97,07/04/2021,07,04,2021
98,08/04/2021,08,04,2021
99,09/04/2021,09,04,2021
100,10/04/2021,10,04,2021
101,11/04/2021,11,04,2021
102,12/04/2021,12,04,2021
103,13/04/2021,13,04,2021
104,14/04/2021,14,04,2021
105,15/04/2021,15,04,2021
106,16/04/2021,16,04,2021
107,17/04/2021,17,04,2021
108,18/04/2021,18,04,2021
109,19/04/2021,19,04,2021
110,20/04/2021,20,04,2021
111,21/04/2021,21,04,2021
112,22/04/2021,22,04,2021
113,23/04/2021,23,04,2021
114,24/04/2021,24,04,2021
115,25/04/2021,25,04,2021
116,26/04/2021,26,04,2021
117,27/04/2021,27,04,2021
118,28/04/2021,28,04,2021
119,29/04/2021,29,04,2021
120,30/04/2021,30,04,2021
121,01/05/2021,01,05,2021
122,02/05/2021,02,05,2021
123,03/05/2021,03,05,2021
124,04/05/2021,04,05,2021
125,05/05/2021,05,05,2021
126,06/05/2021,06,05,2021
127,07/05/2021,07,05,2021
128,08/05/2021,08,05,2021
129,09/05/2021,09,05,2021
130,10/05/2021,10,05,2021
131,11/05/2021,11,05,2021
132,12/05/2021,12,05,2021
133,13/05/2021,13,05,2021
134,14/05/2021,14,05,2021
135,15/05/2021,15,05,2021
136,16/05/2021,16,05,2021
137,17/05/2021,17,05,2021
138,18/05/2021,18,05,2021
139,19/05/2021,19,05,2021
140,20/05/2021,20,05,2021
141,21/05/2021,21,05,2021
142,22/05/2021,22,05,2021
143,23/05/2021,23,05,2021
144,24/05/2021,24,05,2021
145,25/05/2021,25,05,2021
146,26/05/2021,26,05,2021
147,27/05/2021,27,05,2021
148,28/05/2021,28,05,2021
149,29/05/2021,29,05,2021
150,30/05/2021,30,05,2021
151,31/05/2021,31,05,2021
152,01/06/2021,01,06,2021
153,02/06/2021,02,06,2021
154,03/06/2021,03,06,2021
155,04/06/2021,04,06,2021
156,05/06/2021,05,06,2021
157,06/06/2021,06,06,2021
158,07/06/2021,07,06,2021
159,08/06/2021,08,06,2021
160,09/06/2021,09,06,2021
161,10/06/2021,10,06,2021
162,11/06/2021,11,06,2021
163,12/06/2021,12,06,2021
164,13/06/2021,13,06,2021
165,14/06/2021,14,06,2021
166,15/06/2021,15,06,2021
167,16/06/2021,16,06,2021
168,17/06/2021,17,06,2021
169,18/06/2021,18,06,2021
170,19/06/2021,19,06,2021
171,20/06/2021,20,06,2021
172,21/06/2021,21,06,2021
173,22/06/2021,22,06,2021
174,23/06/2021,23,06,2021
175,24/06/2021,24,06,2021
176,25/06/2021,25,06,2021
177,26/06/2021,26,06,2021
178,27/06/2021,27,06,2021
179,28/06/2021,28,06,2021
180,29/06/2021,29,06,2021
181,30/06/2021,30,06,2021
182,01/07/2021,01,07,2021
183,02/07/2021,02,07,2021
184,03/07/2021,03,07,2021
185,04/07/2021,04,07,2021
186,05/07/2021,05,07,2021
187,06/07/2021,06,07,2021
188,07/07/2021,07,07,2021
189,08/07/2021,08,07,2021
190,09/07/2021,09,07,2021
191,10/07/2021,10,07,2021
192,11/07/2021,11,07,2021
193,12/07/2021,12,07,2021
194,13/07/2021,13,07,2021
195,14/07/2021,14,07,2021
196,15/07/2021,15,07,2021
197,16/07/2021,16,07,2021
198,17/07/2021,17,07,2021
199,18/07/2021,18,07,2021
200,19/07/2021,19,07,2021
201,20/07/2021,20,07,2021
202,21/07/2021,21,07,2021
203,22/07/2021,22,07,2021
204,23/07/2021,23,07,2021
