id,dateid,timeid,trading_symbol,comp_sentiment
1,25,601,BTC,0.9766
2,25,721,BTC,0.9818
3,25,781,BTC,0.7717
4,25,841,BTC,-0.8126
5,25,901,BTC,0.9682
6,25,961,BTC,0.9818
7,25,1021,BTC,0.6808
8,25,1141,BTC,0.8862
9,25,1201,BTC,0.9705
10,25,1261,BTC,-0.5859
11,25,1321,BTC,0.9986
12,25,121,BTC,-0.5994
13,25,361,BTC,0.984
14,25,481,BTC,0.984
15,26,1141,BTC,-0.1484
16,26,1201,BTC,-0.9993
17,26,1261,BTC,-0.7269
18,26,1321,BTC,-0.0643
19,26,1381,BTC,0.9468
20,26,121,BTC,-0.997
21,26,361,BTC,0.984
22,26,421,BTC,-0.9944
23,27,601,BTC,-0.6597
24,27,661,BTC,-0.9978
25,27,721,BTC,-0.016
26,27,781,BTC,-0.5574
27,27,841,BTC,-0.3362
28,27,901,BTC,0.0737
29,27,961,BTC,-0.0175
30,27,1021,BTC,-0.0144
31,27,1081,BTC,0.9834
32,27,1141,BTC,0.9771
33,27,1201,BTC,0.4062
34,27,1261,BTC,-0.7506
35,27,1381,BTC,0.4108
36,27,241,BTC,-0.015
37,27,301,BTC,-0.5574
38,27,481,BTC,-0.5267
39,27,541,BTC,-0.5859
40,28,601,BTC,0.0534
41,28,661,BTC,0.9726
42,28,721,BTC,0.6434
43,28,781,BTC,0.2559
44,28,841,BTC,0.4191
45,28,901,BTC,0.3034
46,28,961,BTC,0.3082
47,28,1021,BTC,0.9842
48,28,1081,BTC,-0.0439
49,28,1141,BTC,0
50,28,1201,BTC,0.3074
51,28,1261,BTC,0.4561
52,28,1321,BTC,0.3177
53,28,1381,BTC,0.4547
54,28,241,BTC,0.4397
55,28,301,BTC,0.8934
56,28,361,BTC,-0.5574
57,28,421,BTC,0.7906
58,28,481,BTC,0.5267
59,29,1,BTC,0.3721
60,29,601,BTC,-0.0008
61,29,661,BTC,0.4266
62,29,721,BTC,0.328
63,29,781,BTC,0.4266
64,29,841,BTC,0.328
65,29,901,BTC,0.0015
66,29,961,BTC,0.0015
67,29,1021,BTC,-0.0009
68,29,1081,BTC,-0.0008
69,29,1141,BTC,0.0017
70,29,61,BTC,0
71,29,1201,BTC,0.0015
72,29,1261,BTC,0.0078
73,29,1321,BTC,0.9985
74,29,1381,BTC,0.2268
75,29,121,BTC,-0.2064
76,29,181,BTC,0
77,29,241,BTC,0.997
78,29,301,BTC,0.0015
79,29,361,BTC,0.9325
80,29,421,BTC,0.0015
81,29,481,BTC,-0.0008
82,29,541,BTC,0.0015
83,30,1,BTC,-0.1998
84,30,601,BTC,0.3433
85,30,661,BTC,0.3115
86,30,721,BTC,0.0675
87,30,781,BTC,0.6249
88,30,961,BTC,-0.0862
89,30,1021,BTC,0.9882
90,30,1081,BTC,-0.7906
91,30,1141,BTC,-0.0212
92,30,61,BTC,0.5719
93,30,1261,BTC,0.3499
94,30,121,BTC,0.9682
95,30,241,BTC,-0.0007
96,30,301,BTC,-0.0007
97,30,361,BTC,-0.5574
98,30,421,BTC,-0.5574
99,31,601,BTC,-0.9993
100,31,661,BTC,-0.4512
101,31,721,BTC,0.0064
102,31,781,BTC,-0.2726
103,31,841,BTC,0.6124
104,31,901,BTC,0.3246
105,31,961,BTC,0.7906
106,31,1021,BTC,-0.2407
107,31,1081,BTC,-0.9993
108,31,1141,BTC,0.4331
109,31,61,BTC,0.997
110,31,1201,BTC,-0.9325
111,31,181,BTC,0.7906
112,31,301,BTC,0.997
113,31,541,BTC,0.5574
114,32,601,BTC,-0.9968
115,32,661,BTC,0.3688
116,32,721,BTC,0.9712
117,32,781,BTC,0.0113
118,32,841,BTC,-0.9993
119,32,901,BTC,0.9818
120,32,961,BTC,0.0982
121,32,1021,BTC,0.9682
122,32,1081,BTC,-0.0481
123,32,1141,BTC,-0.6705
124,32,61,BTC,0.4108
125,32,1201,BTC,0.5994
126,32,1261,BTC,0.5267
127,32,1321,BTC,0.2268
128,32,241,BTC,0.4723
129,32,361,BTC,-0.5574
130,32,421,BTC,0.1131
131,32,481,BTC,0.055
132,32,541,BTC,0.6124
133,33,1,BTC,0.2488
134,33,61,BTC,-0.6808
135,33,121,BTC,-0.5859
136,33,181,BTC,-0.6705
137,33,301,BTC,-0.9997
138,33,361,BTC,-0.6705
139,33,421,BTC,0.9477
140,33,541,BTC,-0.3371
141,35,721,BTC,0.5046
142,35,781,BTC,-0.001
143,35,841,BTC,0.9682
144,35,901,BTC,0.4199
145,35,961,BTC,0.9985
146,35,1021,BTC,0.9985
147,35,1081,BTC,0.2312
148,35,1201,BTC,0.9628
149,35,1261,BTC,0.997
150,35,1321,BTC,0.0082
151,35,1381,BTC,0.5994
152,36,1,BTC,0.9325
153,36,601,BTC,0.9682
154,36,721,BTC,-0.0011
155,36,781,BTC,0.743
156,36,841,BTC,0.9781
157,36,1201,BTC,0.8934
158,36,1261,BTC,0.9682
159,36,1321,BTC,0.7964
160,36,1381,BTC,0.2047
161,36,241,BTC,0.9001
162,36,301,BTC,-0.765
163,36,481,BTC,0.071
164,36,541,BTC,-0.0339
165,37,1,BTC,0.9325
166,37,601,BTC,0.9985
167,37,721,BTC,0.3876
168,37,781,BTC,0.0086
169,37,841,BTC,0.0377
170,37,901,BTC,0.0448
171,37,961,BTC,0.9957
172,37,1021,BTC,0.4098
173,37,1081,BTC,0.3873
174,37,1141,BTC,0.9682
175,37,1201,BTC,0.6369
176,37,1261,BTC,0.9758
177,37,1321,BTC,0.9758
178,37,1381,BTC,0.7096
179,37,121,BTC,0.997
180,37,181,BTC,-0.8308
181,37,241,BTC,0.9853
182,37,361,BTC,0.6166
183,37,541,BTC,0.9549
184,38,601,BTC,0.9918
185,38,661,BTC,0.9682
186,38,721,BTC,0.7906
187,38,841,BTC,0.4
188,38,901,BTC,0.4178
189,38,961,BTC,0.3873
190,38,121,BTC,0.5719
191,38,301,BTC,-0.0027
192,38,481,BTC,-0.5423
193,38,541,BTC,0.3669
194,39,661,BTC,-0.2719
195,39,721,BTC,0.9819
196,39,781,BTC,0.9985
197,39,841,BTC,0.4412
198,39,901,BTC,0.999
199,39,961,BTC,0.9985
200,39,1021,BTC,0.999
201,39,1081,BTC,0.3082
202,39,1141,BTC,0.9682
203,39,1201,BTC,0.9984
204,39,1261,BTC,0.6486
205,39,301,BTC,0.2273
206,39,361,BTC,0.9719
207,39,421,BTC,0.9823
208,39,541,BTC,0.7506
209,40,1,BTC,0.9826
210,40,661,BTC,0.9984
211,40,721,BTC,0.9818
212,40,781,BTC,0.9682
213,40,841,BTC,0.9682
214,40,901,BTC,0.9682
215,40,961,BTC,0.9995
216,40,1021,BTC,-0.0784
217,40,1081,BTC,0.1153
218,40,1141,BTC,0.9081
219,40,1201,BTC,0.328
220,40,1261,BTC,0
221,40,1321,BTC,0.2586
222,40,1381,BTC,0.4879
223,40,361,BTC,0.9792
224,40,541,BTC,0.9732
225,41,121,BTC,-0.9682
226,41,181,BTC,0.4049
227,41,301,BTC,0.0136
228,41,361,BTC,0.9985
229,41,421,BTC,0.9818
230,25,601,BTC,0.9766
231,25,721,BTC,0.9818
232,25,781,BTC,0.7717
233,25,841,BTC,-0.8126
234,25,901,BTC,0.9682
235,25,961,BTC,0.9818
236,25,1021,BTC,0.6808
237,25,1141,BTC,0.8862
238,25,1201,BTC,0.9705
239,25,1261,BTC,-0.5859
240,25,1321,BTC,0.9986
241,25,121,BTC,-0.5994
242,25,361,BTC,0.984
243,25,481,BTC,0.984
244,26,1141,BTC,-0.1484
245,26,1201,BTC,-0.9993
246,26,1261,BTC,-0.7269
247,26,1321,BTC,-0.0643
248,26,1381,BTC,0.9468
249,26,121,BTC,-0.997
250,26,361,BTC,0.984
251,26,421,BTC,-0.9944
252,27,601,BTC,-0.6597
253,27,661,BTC,-0.9978
254,27,721,BTC,-0.016
255,27,781,BTC,-0.5574
256,27,841,BTC,-0.3362
257,27,901,BTC,0.0737
258,27,961,BTC,-0.0175
259,27,1021,BTC,-0.0144
260,27,1081,BTC,0.9834
261,27,1141,BTC,0.9771
262,27,1201,BTC,0.4062
263,27,1261,BTC,-0.7506
264,27,1381,BTC,0.4108
265,27,241,BTC,-0.015
266,27,301,BTC,-0.5574
267,27,481,BTC,-0.5267
268,27,541,BTC,-0.5859
269,28,601,BTC,0.0534
270,28,661,BTC,0.9726
271,28,721,BTC,0.6434
272,28,781,BTC,0.2559
273,28,841,BTC,0.4191
274,28,901,BTC,0.3034
275,28,961,BTC,0.3082
276,28,1021,BTC,0.9842
277,28,1081,BTC,-0.0439
278,28,1141,BTC,0
279,28,1201,BTC,0.3074
280,28,1261,BTC,0.4561
281,28,1321,BTC,0.3177
282,28,1381,BTC,0.4547
283,28,241,BTC,0.4397
284,28,301,BTC,0.8934
285,28,361,BTC,-0.5574
286,28,421,BTC,0.7906
287,28,481,BTC,0.5267
288,29,1,BTC,0.3721
289,29,601,BTC,-0.0008
290,29,661,BTC,0.4266
291,29,721,BTC,0.328
292,29,781,BTC,0.4266
293,29,841,BTC,0.328
294,29,901,BTC,0.0015
295,29,961,BTC,0.0015
296,29,1021,BTC,-0.0009
297,29,1081,BTC,-0.0008
298,29,1141,BTC,0.0017
299,29,61,BTC,0
300,29,1201,BTC,0.0015
301,29,1261,BTC,0.0078
302,29,1321,BTC,0.9985
303,29,1381,BTC,0.2268
304,29,121,BTC,-0.2064
305,29,181,BTC,0
306,29,241,BTC,0.997
307,29,301,BTC,0.0015
308,29,361,BTC,0.9325
309,29,421,BTC,0.0015
310,29,481,BTC,-0.0008
311,29,541,BTC,0.0015
312,30,1,BTC,-0.1998
313,30,601,BTC,0.3433
