id,dateid,timeid,trading_symbol,avg
1,25,121,BTC,0.5267
2,25,361,BTC,0.0044
3,25,481,BTC,0.3433
4,25,601,BTC,-0.999
5,25,721,BTC,0.4412
6,25,781,BTC,0.743
7,25,841,BTC,0.8934
8,25,901,BTC,-0.0339
9,25,961,BTC,-0.999
10,25,1021,BTC,0.9732
11,25,1141,BTC,-0.9953
12,25,1201,BTC,0.9982
13,25,1261,BTC,-0.5859
14,25,1321,BTC,0.9858
15,26,121,BTC,0.9682
16,26,361,BTC,-0.9996
17,26,421,BTC,0.9818
18,26,1141,BTC,0
19,26,1201,BTC,0.055
20,26,1261,BTC,0.7964
21,26,1321,BTC,0.3082
22,26,1381,BTC,0.071
23,27,241,BTC,0.9325
24,27,301,BTC,-0.9993
25,27,481,BTC,0.6705
26,27,541,BTC,0.5994
27,27,601,BTC,-0.001
28,27,661,BTC,0.9682
29,27,721,BTC,0.9682
30,27,781,BTC,0.9682
31,27,841,BTC,-0.997
32,27,901,BTC,0.9531
33,27,961,BTC,0.9985
34,27,1021,BTC,0.9792
35,27,1081,BTC,0.9984
36,27,1141,BTC,0.0737
37,27,1201,BTC,0.4108
38,27,1261,BTC,0.0476
39,27,1381,BTC,-0.0007
40,28,241,BTC,0.9682
41,28,301,BTC,0.2047
42,28,361,BTC,0.6124
43,28,421,BTC,-0.5574
44,28,481,BTC,0.9682
45,28,601,BTC,0.9855
46,28,661,BTC,0.7096
47,28,721,BTC,-0.997
48,28,781,BTC,-0.3265
49,28,841,BTC,0.9682
50,28,901,BTC,-0.3371
51,28,961,BTC,0.9732
52,28,1021,BTC,-0.0175
53,28,1081,BTC,0.9325
54,28,1141,BTC,0.3873
55,28,1201,BTC,-0.9994
56,28,1261,BTC,0.0064
57,28,1321,BTC,-0.9992
58,28,1381,BTC,-0.8308
59,29,1,BTC,-0.9955
60,29,61,BTC,0.9918
61,29,121,BTC,0.9842
62,29,181,BTC,-0.3362
63,29,241,BTC,0.3178
64,29,301,BTC,0.0982
65,29,361,BTC,0.7906
66,29,421,BTC,0.6486
67,29,481,BTC,-0.5205
68,29,541,BTC,0.9325
69,29,601,BTC,-0.0311
70,29,661,BTC,-0.2726
71,29,721,BTC,0.9985
72,29,781,BTC,0.5984
73,29,841,BTC,0.9985
74,29,901,BTC,-0.6808
75,29,961,BTC,0.9935
76,29,1021,BTC,0.9882
77,29,1081,BTC,0.997
78,29,1141,BTC,0.5719
79,29,1201,BTC,0.9985
80,29,1261,BTC,-0.1484
81,29,1321,BTC,0.9657
82,29,1381,BTC,0.7906
83,30,1,BTC,0.9818
84,30,61,BTC,0.9371
85,30,121,BTC,0.7906
86,30,241,BTC,0.0876
87,30,301,BTC,0.9974
88,30,361,BTC,-0.0008
89,30,421,BTC,0.9682
90,30,601,BTC,0.2165
91,30,661,BTC,0.8176
92,30,721,BTC,0.9682
93,30,781,BTC,-0.0007
94,30,961,BTC,-0.5267
95,30,1021,BTC,0.6369
96,30,1081,BTC,0.9818
97,30,1141,BTC,0.9806
98,30,1261,BTC,-0.0439
99,31,61,BTC,0.9477
100,31,181,BTC,0.9981
101,31,301,BTC,0.9716
102,31,541,BTC,0.9493
103,31,601,BTC,0.9747
