author,title,description,url,source.name,publishedAt,clean_title,clean_description
Tom Wilson,"Crypto exchange Coinbase hit by tech trouble as bitcoin breaks $20,000 for first time - Reuters","Major U.S. cryptocurrency exchange Coinbase said on Wednesday its retail and professional-focused platforms were hit by connection problems and network congestion, as bitcoin smashed through $20,000 to its highest level ever.",https://www.reuters.com/article/crypto-currency-coinbase-idUSKBN28Q2FK,Reuters,2020-12-16T16:46:00Z,Crypto exchange Coinbase hit by tech trouble as bitcoin breaks 20 000 for first time Reuters,Major U S cryptocurrency exchange Coinbase said on Wednesday its retail and professional focused platforms were hit by connection problems and network congestion as bitcoin smashed through 20 000 to its highest level ever
Tom Wilson,"Crypto exchange Coinbase hit by tech trouble as bitcoin breaks $20,000 for first time - Reuters UK","Major U.S. cryptocurrency exchange Coinbase said on Wednesday its retail and professional-focused platforms were hit by connection problems and network congestion, as bitcoin smashed through $20,000 to its highest level ever.",https://in.reuters.com/article/crypto-currency-coinbase-idUKKBN28Q2EA,Reuters,2020-12-16T16:35:00Z,Crypto exchange Coinbase hit by tech trouble as bitcoin breaks 20 000 for first time Reuters UK,Major U S cryptocurrency exchange Coinbase said on Wednesday its retail and professional focused platforms were hit by connection problems and network congestion as bitcoin smashed through 20 000 to its highest level ever
Reuters Staff,Bitcoin slumps 6% as new COVID-19 strain upsets wider markets - Reuters UK,"Bitcoin dropped as much as 6% on Monday, with fears over a fast-spreading new coronavirus strain in Britain hitting assets across wider markets.",https://uk.reuters.com/article/crypto-currency-idUKKBN28V1J0,Reuters,2020-12-21T12:49:00Z,Bitcoin slumps 6 as new COVID 19 strain upsets wider markets Reuters UK,Bitcoin dropped as much as 6 on Monday with fears over a fast spreading new coronavirus strain in Britain hitting assets across wider markets
Reuters Staff,Panthers' Okung to be first player paid in digital currency - Reuters,"More than a year and a half after expressing his desire to be paid in Bitcoin, Carolina Panthers offensive lineman Russell Okung is getting his wish.",https://www.reuters.com/article/us-football-nfl-car-okung-bitcoin-idUSKBN2931OK,Reuters,2020-12-29T17:22:00Z,Panthers Okung to be first player paid in digital currency Reuters,More than a year and a half after expressing his desire to be paid in Bitcoin Carolina Panthers offensive lineman Russell Okung is getting his wish
Reuters Editorial,"Bitcoin soars to new record, 2020 rally powers on | Reuters Video - Reuters India","Bitcoin on Wednesday hit a record $28,599.99, taking gains this year past 295% amid heightened interest from bigger investors. Ciara Lee reports",https://in.reuters.com/video/watch/idOVDB7EXL7,Reuters,2020-12-30T09:31:58Z,Bitcoin soars to new record 2020 rally powers on Reuters Video Reuters India,Bitcoin on Wednesday hit a record 28 599 99 taking gains this year past 295 amid heightened interest from bigger investors Ciara Lee reports
Catherine Shu,New York licenses GMO Internet to issue the first JPY-pegged stablecoin,"The New York Department of Financial Services (NYDFS) has approved Tokyo-based GMO Internet to launch GYEN, the first stablecoin pegged to the Japanese yen. GMO Internet, an internet conglomerate that offers a large array of services, including domain hosting…",http://techcrunch.com/2020/12/29/new-york-licenses-gmo-internet-to-issue-the-first-jpy-pegged-stablecoin/,TechCrunch,2020-12-30T02:38:42Z,New York licenses GMO Internet to issue the first JPY pegged stablecoin,The New York Department of Financial Services NYDFS has approved Tokyo based GMO Internet to launch GYEN the first stablecoin pegged to the Japanese yen GMO Internet an internet conglomerate that offers a large array of services including domain hosting
Gertrude Chavez-Dreyfuss,"Total crypto fund inflows top $5 billion this year, up more than 600% - report - Reuters","Total investor inflows into cryptocurrency funds and products hit $5.6 billion so far this year, up more than 600% from 2019, according to the latest data from asset manager CoinShares.",https://www.reuters.com/article/us-crypto-currencies-flows-idUSKBN28V2OE,Reuters,2020-12-21T20:17:00Z,Total crypto fund inflows top 5 billion this year up more than 600 report Reuters,Total investor inflows into cryptocurrency funds and products hit 5 6 billion so far this year up more than 600 from 2019 according to the latest data from asset manager CoinShares
Simon Chandler,"How to invest in bitcoin: The major ways to buy, their pros and cons, and the strategies to consider","Summary List PlacementBitcoin is possibly the most fashionable investment of the past decade. It has appreciated in value by anything from 717,900% to just shy of one billion percent (depending on your starting figure) over the last 10 years or so. Either way…",https://www.businessinsider.com/how-to-invest-in-bitcoin,Business Insider,2020-12-18T23:54:53Z,How to invest in bitcoin The major ways to buy their pros and cons and the strategies to consider,Summary List PlacementBitcoin is possibly the most fashionable investment of the past decade It has appreciated in value by anything from 717 900 to just shy of one billion percent depending on your starting figure over the last 10 years or so Either way
EditorDavid,Bitcoin Surges 50% in Just One Month. CNN Ponders 'Insane' Record Run,"The price of Bitcoin increased 50% — in the last four weeks. 

Now priced at $26,579, ""Bitcoin is crashing — upward,"" quips CNN Business:


The digital currency has a market value north of $500 billion. Think Bitcoin is just a fad? It's worth more than Visa o…",https://news.slashdot.org/story/20/12/28/002212/bitcoin-surges-50-in-just-one-month-cnn-ponders-insane-record-run,Slashdot.org,2020-12-28T08:35:00Z,Bitcoin Surges 50 in Just One Month CNN Ponders Insane Record Run,The price of Bitcoin increased 50 in the last four weeks Now priced at 26 579 Bitcoin is crashing upward quips CNN Business The digital currency has a market value north of 500 billion Think Bitcoin is just a fad It s worth more than Visa o
John McCrank,"Bitcoin touches record above $29,000, extending 2020 rally - Reuters","The price of Bitcoin topped $29,000 on Thursday for the first time, with the digital currency almost quadrupling in value this year amid heightened interest from investors big and small alike.",https://www.reuters.com/article/us-crypto-currency-idUSKBN2951OR,Reuters,2020-12-31T19:25:00Z,Bitcoin touches record above 29 000 extending 2020 rally Reuters,The price of Bitcoin topped 29 000 on Thursday for the first time with the digital currency almost quadrupling in value this year amid heightened interest from investors big and small alike
