author,title,description,url,source.name,publishedAt,clean_title,clean_description
Mitchell Clark,Jack Dorsey says proposed cryptocurrency regulation would create ‘perverse incentives’,"Twitter and Square CEO Jack Dorsey is joining the Electronic Frontier Foundation and others in commenting on the proposed regulations, which would require financial institutions to gather personal information on certain cryptocurrency transactions.",https://www.theverge.com/2021/1/4/22213863/jack-dorsey-cryptocurrency-fincen-regulation-letter,The Verge,2021-01-04T22:43:47Z,Jack Dorsey says proposed cryptocurrency regulation would create perverse incentives,Twitter and Square CEO Jack Dorsey is joining the Electronic Frontier Foundation and others in commenting on the proposed regulations which would require financial institutions to gather personal information on certain cryptocurrency transactions
Matt Novak,Ripple Claims Bitcoin Is 'Chinese-Controlled' While Announcing New Lawsuit From SEC,"The Securities and Exchange Commission plans to sue Ripple in federal civil court for selling unregistered securities, according to a news release published online by the cryptocurrency company late Monday. Ripple defended its cryptocurrency, known as XRP, as…",https://gizmodo.com/ripple-claims-bitcoin-is-chinese-controlled-while-annou-1845932148,Gizmodo.com,2020-12-22T11:30:00Z,Ripple Claims Bitcoin Is Chinese Controlled While Announcing New Lawsuit From SEC,The Securities and Exchange Commission plans to sue Ripple in federal civil court for selling unregistered securities according to a news release published online by the cryptocurrency company late Monday Ripple defended its cryptocurrency known as XRP as
Joseph Green,Learn the basics of trading cryptocurrency for under £30,"TL;DR: The Complete Cryptocurrency Professional Trading Bundle is on sale for £22.08 as of Dec. 27, saving you 97% on list price.

If you're going to get into cryptocurrency, you should learn the ropes first.
The Complete Cryptocurrency Professional Trading B…",https://mashable.com/uk/shopping/dec-27-comeplete-cryptocurrency-professional-trading-bundle/,Mashable,2020-12-27T05:05:00Z,Learn the basics of trading cryptocurrency for under 30,TL DR The Complete Cryptocurrency Professional Trading Bundle is on sale for 22 08 as of Dec 27 saving you 97 on list price If you re going to get into cryptocurrency you should learn the ropes first The Complete Cryptocurrency Professional Trading B
Jody Serrano,"Bitcoin Keeps Moving On Up, Reaching $33,000 in Value","Just weeks after it shattered its yearslong aspiration of reaching $20,000 in value, Bitcoin is at it again. On Saturday, the cryptocurrency passed $33,000 in value, according to CoinDesk, before dipping slightly throughout the day.Read more...",https://gizmodo.com/bitcoin-keeps-moving-on-up-reaching-33-000-in-value-1845979632,Gizmodo.com,2021-01-03T03:03:00Z,Bitcoin Keeps Moving On Up Reaching 33 000 in Value,Just weeks after it shattered its yearslong aspiration of reaching 20 000 in value Bitcoin is at it again On Saturday the cryptocurrency passed 33 000 in value according to CoinDesk before dipping slightly throughout the day Read more
Brianna Provenzano,Cryptocurrency Exchange Coinbase Reportedly Paid Women and People of Color Like Shit,"The cryptocurrency exchange startup Coinbase consistently paid women and people of color less than other employees performing similar jobs, new data from the New York Times has found, exposing a glaring pay gap that’s large even by the tech industry’s miserab…",https://gizmodo.com/cryptocurrency-exchange-coinbase-reportedly-paid-women-1845965619,Gizmodo.com,2020-12-30T00:33:00Z,Cryptocurrency Exchange Coinbase Reportedly Paid Women and People of Color Like Shit,The cryptocurrency exchange startup Coinbase consistently paid women and people of color less than other employees performing similar jobs new data from the New York Times has found exposing a glaring pay gap that s large even by the tech industry s miserab
Romain Dillet,Gemini is launching a credit card with bitcoin rewards,"Cryptocurrency exchange company Gemini is acquiring Blockrize and announcing a new product today based on Blockrize’s work. Later this year, the company is launching a credit card that works like a regular credit card — but you earn bitcoin rewards based on y…",http://techcrunch.com/2021/01/14/gemini-is-launching-a-credit-card-with-bitcoin-rewards/,TechCrunch,2021-01-14T12:00:50Z,Gemini is launching a credit card with bitcoin rewards,Cryptocurrency exchange company Gemini is acquiring Blockrize and announcing a new product today based on Blockrize s work Later this year the company is launching a credit card that works like a regular credit card but you earn bitcoin rewards based on y
Connie Loizos,Coinbase commits to a “better customer experience” following complaints,"Coinbase has a problem. As interest in bitcoin has soared along with its price, the popular cryptocurrency exchange has found itself the target of a growing spate of angry customers who haven’t been able to access customer service. A quick look at Twitter tel…",http://techcrunch.com/2021/01/15/coinbase-commits-to-a-better-customer-experience-following-complaints/,TechCrunch,2021-01-15T21:06:19Z,Coinbase commits to a better customer experience following complaints,Coinbase has a problem As interest in bitcoin has soared along with its price the popular cryptocurrency exchange has found itself the target of a growing spate of angry customers who haven t been able to access customer service A quick look at Twitter tel
Lucas Ropek,Crypto Exchange Owner Gets 10 Years for Turning Fake Car Auctions Into Cryptocurrency,Bulgarian man Rossen G. Iossifov was sentenced to 10 years in U.S. federal prison January 12 for his role in a transnational scheme that stole millions of dollars from hundreds of Americans. Read more...,https://gizmodo.com/crypto-exchange-owner-gets-10-years-for-turning-fake-ca-1846054266,Gizmodo.com,2021-01-14T03:19:00Z,Crypto Exchange Owner Gets 10 Years for Turning Fake Car Auctions Into Cryptocurrency,Bulgarian man Rossen G Iossifov was sentenced to 10 years in U S federal prison January 12 for his role in a transnational scheme that stole millions of dollars from hundreds of Americans Read more
Reuters Staff,Coinbase to suspend trading in XRP - Reuters,Cryptocurrency exchange Coinbase Inc said on Monday it would suspend trading in cryptocurrency XRP after U.S. regulators last week charged associated blockchain firm Ripple with conducting a $1.3 billion unregistered securities offering.,https://www.reuters.com/article/us-coinbase-xrp-idUSKBN292222,Reuters,2020-12-28T23:42:00Z,Coinbase to suspend trading in XRP Reuters,Cryptocurrency exchange Coinbase Inc said on Monday it would suspend trading in cryptocurrency XRP after U S regulators last week charged associated blockchain firm Ripple with conducting a 1 3 billion unregistered securities offering
John Biggs,Hackers Steal Thousands of Customer Emails From Popular Crypto Wallet,"Hackers have released over 270,000 email addresses associated with customers of the popular hardware-based cryptocurrency wallet Ledger. The leak, which allegedly stemmed from a company hack last July, appears to contain over 270,000 customer emails and other…",https://gizmodo.com/hackers-steal-thousands-of-customer-emails-from-popular-1845928749,Gizmodo.com,2020-12-21T20:50:00Z,Hackers Steal Thousands of Customer Emails From Popular Crypto Wallet,Hackers have released over 270 000 email addresses associated with customers of the popular hardware based cryptocurrency wallet Ledger The leak which allegedly stemmed from a company hack last July appears to contain over 270 000 customer emails and other
