author,title,description,url,source.name,publishedAt,clean_title,clean_description
"Bryce Welker, CPA",The 3 Biggest Legal Issues Facing American Entrepreneurs in 2021,"How legislation could affect three modern-and extremely successful-industries: content creation, cryptocurrency, social media.",https://www.entrepreneur.com/article/360265,Entrepreneur,2020-12-30T17:05:00Z,The 3 Biggest Legal Issues Facing American Entrepreneurs in 2021,How legislation could affect three modern and extremely successful industries content creation cryptocurrency social media
Entrepreneur en Español,"Record in a matter of hours! Bitcoin price exceeds $ 31,000","In just a few hours, the cryptocurrency reached a new record, exceeding $ 30,000.",https://www.entrepreneur.com/article/362621,Entrepreneur,2021-01-02T20:16:12Z,Record in a matter of hours Bitcoin price exceeds 31 000,In just a few hours the cryptocurrency reached a new record exceeding 30 000
BeauHD,XRP Cryptocurrency Crashes Following Announcement of SEC Suit Against Ripple,"An anonymous reader quotes a report from TechCrunch: The value of one of the world's most valuable cryptocurrencies is crashing and a recently filed SEC complaint is at the root of the free fall. According to CoinMarketCap, the XRP token's value has declined …",https://yro.slashdot.org/story/20/12/24/210219/xrp-cryptocurrency-crashes-following-announcement-of-sec-suit-against-ripple,Slashdot.org,2020-12-25T00:20:00Z,XRP Cryptocurrency Crashes Following Announcement of SEC Suit Against Ripple,An anonymous reader quotes a report from TechCrunch The value of one of the world s most valuable cryptocurrencies is crashing and a recently filed SEC complaint is at the root of the free fall According to CoinMarketCap the XRP token s value has declined
BeauHD,Hackers Target Cryptocurrency Users With New ElectroRAT Malware,An anonymous reader quotes a report from ZDNet: Security firm Intezer Labs said it discovered a covert year-long malware operation where cybercriminals created fake cryptocurrency apps in order to trick users into installing a new strain of malware on their s…,https://it.slashdot.org/story/21/01/06/0410247/hackers-target-cryptocurrency-users-with-new-electrorat-malware,Slashdot.org,2021-01-06T13:00:00Z,Hackers Target Cryptocurrency Users With New ElectroRAT Malware,An anonymous reader quotes a report from ZDNet Security firm Intezer Labs said it discovered a covert year long malware operation where cybercriminals created fake cryptocurrency apps in order to trick users into installing a new strain of malware on their s
Mairem Del Río,"Bitcoin is unstoppable! It reached $ 28,900 per unit and will continue to rise according to experts","In less than three weeks, the popular cryptocurrency has registered a 60% increase in value and specialists project that it will reach $ 30,000 in the near future.",https://www.altonivel.com.mx/finanzas/precio-del-bitcoin-supero-los-28900-dolares-y-proyectan-que-siga-subiendo/,Altonivel.com.mx,2020-12-30T22:20:00Z,Bitcoin is unstoppable It reached 28 900 per unit and will continue to rise according to experts,In less than three weeks the popular cryptocurrency has registered a 60 increase in value and specialists project that it will reach 30 000 in the near future
Reuters Staff,Cryptocurrency XRP drops 18% after U.S. SEC charges Ripple over offering - Reuters India,Cryptocurrency XRP tumbled 18% to a one-month low on Wednesday after the U.S. Securities and Exchange Commission (SEC) charged associated blockchain firm Ripple with conducting a $1.3 billion unregistered securities offering.,https://in.reuters.com/article/us-crypto-currency-ripple-idINKBN28X116,Reuters,2020-12-23T09:22:00Z,Cryptocurrency XRP drops 18 after U S SEC charges Ripple over offering Reuters India,Cryptocurrency XRP tumbled 18 to a one month low on Wednesday after the U S Securities and Exchange Commission SEC charged associated blockchain firm Ripple with conducting a 1 3 billion unregistered securities offering
Katanga Johnson,U.S. SEC charges blockchain payments firm Ripple with conducting unregistered securities offering - Reuters,"The U.S. Securities and Exchange Commission (SEC) on Tuesday said it filed an action against Ripple, the blockchain payments company associated with the cryptocurrency XRP, charging it with conducting a $1.3 billion unregistered securities offering.",https://www.reuters.com/article/usa-sec-ripple-idUSL1N2J21Y6,Reuters,2020-12-22T20:48:00Z,U S SEC charges blockchain payments firm Ripple with conducting unregistered securities offering Reuters,The U S Securities and Exchange Commission SEC on Tuesday said it filed an action against Ripple the blockchain payments company associated with the cryptocurrency XRP charging it with conducting a 1 3 billion unregistered securities offering
Katanga Johnson,U.S. SEC charges blockchain payments firm Ripple with conducting unregistered securities offering - Reuters,"The U.S. Securities and Exchange Commission (SEC) on Tuesday said it filed an action against Ripple, the blockchain payments company associated with the cryptocurrency XRP, charging it with conducting a $1.3 billion unregistered securities offering.",https://www.reuters.com/article/us-usa-sec-ripple-idUSKBN28W2J1,Reuters,2020-12-22T20:58:00Z,U S SEC charges blockchain payments firm Ripple with conducting unregistered securities offering Reuters,The U S Securities and Exchange Commission SEC on Tuesday said it filed an action against Ripple the blockchain payments company associated with the cryptocurrency XRP charging it with conducting a 1 3 billion unregistered securities offering
Reuters Staff,Italian police accuse cryptocurrency exchange boss of huge fraud - Reuters India,Italian police said on Monday a man who ran a cryptocurrency exchange that was declared bankrupt last year is suspected of being responsible for a series of hacks that caused losses of 120 million euros ($146 million).,https://www.reuters.com/article/italy-cyber-cryptocurrency-idINKBN28V1XQ,Reuters,2020-12-21T15:19:00Z,Italian police accuse cryptocurrency exchange boss of huge fraud Reuters India,Italian police said on Monday a man who ran a cryptocurrency exchange that was declared bankrupt last year is suspected of being responsible for a series of hacks that caused losses of 120 million euros 146 million
Jody Godoy,SEC accuses 23-year-old crypto hedge fund founder of fraud - Reuters,The U.S. Securities and Exchange Commission has sued a 23-year-old Australian hedge fund founder in Manhattan federal court for allegedly defrauding investors in his $92.4 million cryptocurrency arbitrage fund.,https://www.reuters.com/article/securities-crypto-virgilcapital-idUSL1N2J324R,Reuters,2020-12-23T20:13:00Z,SEC accuses 23 year old crypto hedge fund founder of fraud Reuters,The U S Securities and Exchange Commission has sued a 23 year old Australian hedge fund founder in Manhattan federal court for allegedly defrauding investors in his 92 4 million cryptocurrency arbitrage fund
