author,title,description,url,source.name,clean_title,clean_description
Kevin Buckland,"UPDATE 1-Bitcoin trades near Sunday record of $34,800 following 800% surge - Reuters India","Bitcoin traded at $33,176 in Asia on Monday, after soaring to a record high of $34,800 on Sunday as investors continue to bet the digital currency is on its way to becoming a mainstream payment method.",https://uk.reuters.com/article/uk-crypto-currency-idUSKBN29905N,Reuters,UPDATE 1 Bitcoin trades near Sunday record of 34 800 following 800 surge Reuters India,Bitcoin traded at 33 176 in Asia on Monday after soaring to a record high of 34 800 on Sunday as investors continue to bet the digital currency is on its way to becoming a mainstream payment method
Kevin Buckland,"Bitcoin trading at $32,990, off Sunday record high of $34,800 - Reuters India","Bitcoin traded at $33,176 in Asia on Monday, after soaring to a record high of $34,800 on Sunday as investors continue to bet the digital currency is on its way to becoming a mainstream payment method.",https://in.reuters.com/article/crypto-currency-idINKBN29906Q,Reuters,Bitcoin trading at 32 990 off Sunday record high of 34 800 Reuters India,Bitcoin traded at 33 176 in Asia on Monday after soaring to a record high of 34 800 on Sunday as investors continue to bet the digital currency is on its way to becoming a mainstream payment method
Kevin Buckland,UPDATE 1-Bitcoin slides more than 5% after topping $40000 for first time - Reuters,"Bitcoin fell more than 5% on Friday, a day after topping $40,000 for the first time.",https://www.reuters.com/article/crypto-currency/update-1-bitcoin-slides-more-than-5-after-topping-40000-for-first-time-idUSL1N2JJ06V,Reuters,UPDATE 1 Bitcoin slides more than 5 after topping 40000 for first time Reuters,Bitcoin fell more than 5 on Friday a day after topping 40 000 for the first time
Brendan Hesse,Don't Use Telegram's New 'People Nearby' Feature,"Telegram’s new “People Nearby” feature shows a list of other nearby users and their approximate proximity to you, letting you create group chats based on geographic location. The feature is turned off by default and must be manually enabled by the user, but i…",https://lifehacker.com/dont-use-telegrams-new-people-nearby-feature-1846017886,Lifehacker.com,Don t Use Telegram s New People Nearby Feature,Telegram s new People Nearby feature shows a list of other nearby users and their approximate proximity to you letting you create group chats based on geographic location The feature is turned off by default and must be manually enabled by the user but i
Timothy B. Lee,The world’s cryptocurrency is now worth more than $1 trillion,"Bitcoin's anonymous founder, Satoshi Nakamoto, could be worth $40 billion.",https://arstechnica.com/tech-policy/2021/01/the-worlds-cryptocurrency-is-now-worth-more-than-1-trillion/,Ars Technica,The world s cryptocurrency is now worth more than 1 trillion,Bitcoin s anonymous founder Satoshi Nakamoto could be worth 40 billion
Reuters Staff,"Bitcoin emergence as 'digital gold' could lift price to $146,000, says JPM - Reuters","Digital currency bitcoin has emerged as a rival to gold and could trade as high as $146,000 if it becomes established as a safe-haven asset, investment bank JPMorgan (JPM) said on Tuesday.",https://www.reuters.com/article/us-crypto-currencies-jpm-idUSKBN29A1IF,Reuters,Bitcoin emergence as digital gold could lift price to 146 000 says JPM Reuters,Digital currency bitcoin has emerged as a rival to gold and could trade as high as 146 000 if it becomes established as a safe haven asset investment bank JPMorgan JPM said on Tuesday
Reuters Staff,"Bitcoin emergence as 'digital gold' could lift price to $146,000, says JPM - Reuters India","Digital currency bitcoin has emerged as a rival to gold and could trade as high as $146,000 if it becomes established as a safe-haven asset, investment bank JPMorgan (JPM) said on Tuesday.",https://in.reuters.com/article/crypto-currencies-jpm-idINKBN29A1J1,Reuters,Bitcoin emergence as digital gold could lift price to 146 000 says JPM Reuters India,Digital currency bitcoin has emerged as a rival to gold and could trade as high as 146 000 if it becomes established as a safe haven asset investment bank JPMorgan JPM said on Tuesday
Reuters Staff,UPDATE 1-Bitcoin hits one-week low as rising U.S. yields dent rally - Reuters,"Cryptocurrencies plunged on Monday, with bitcoin dropping more than 12% to a one-week low as rising U.S. bond yields lifted the dollar broadly and hurt other safe assets that pay no income.",https://www.reuters.com/article/crypto-currency/update-1-bitcoin-hits-one-week-low-as-rising-u-s-yields-dent-rally-idUSL1N2JM07O,Reuters,UPDATE 1 Bitcoin hits one week low as rising U S yields dent rally Reuters,Cryptocurrencies plunged on Monday with bitcoin dropping more than 12 to a one week low as rising U S bond yields lifted the dollar broadly and hurt other safe assets that pay no income
Dan Whateley,"Bitcoin crosses $30,000 for the first time as it charges into 2021","Summary List PlacementThe price of bitcoin crossed $30,000 for the first time on Saturday as the digital currency continued its rally into the new year. 
Bitcoin reached a high of $33,136.92, a spike of around 14% over the last 24 hours.
The cryptocurrency ha…",https://www.businessinsider.com/bitcoin-crosses-30000-as-it-continues-to-break-records-2021-1,Business Insider,Bitcoin crosses 30 000 for the first time as it charges into 2021,Summary List PlacementThe price of bitcoin crossed 30 000 for the first time on Saturday as the digital currency continued its rally into the new year Bitcoin reached a high of 33 136 92 a spike of around 14 over the last 24 hours The cryptocurrency ha
Isobel Asher Hamilton,Jack Dorsey criticized proposed cryptocurrency laws in the US as 'absurd',The Twitter founder's open letter comes three months after he invested $ 50 million in bitcoin.,http://feedproxy.google.com/~r/entrepreneur/latest/~3/kowSbQSYeXE/362779,Google News,Jack Dorsey criticized proposed cryptocurrency laws in the US as absurd,The Twitter founder s open letter comes three months after he invested 50 million in bitcoin
,Bit Digital leads crypto-related weakness amid short seller report - Seeking Alpha,"Bit Digital (NASDAQ:BTBT) dropped 26% amidst a selloff in Bitcoin-related companies today and following a new shortseller report.Earlier, nearly $170B was wiped off cryptocurrency market in as Bitcoin (BTC-USD) dropped 20.1% to $34,130 after a huge rally and …",https://seekingalpha.com/news/3650451-bit-digital-leads-crypto-related-weakness-amid-short-seller-report,Seeking Alpha,Bit Digital leads crypto related weakness amid short seller report Seeking Alpha,Bit Digital NASDAQ BTBT dropped 26 amidst a selloff in Bitcoin related companies today and following a new shortseller report Earlier nearly 170B was wiped off cryptocurrency market in as Bitcoin BTC USD dropped 20 1 to 34 130 after a huge rally and
Reuters Staff,Bitcoin hits one-week low as rising U.S. yields dent rally - Reuters,"Cryptocurrencies plunged on Monday, with bitcoin dropping more than 12% to a one-week low as rising U.S. yields lifted the dollar broadly and hurt non-income paying assets.",https://www.reuters.com/article/crypto-currency/bitcoin-hits-one-week-low-as-rising-us-yields-dent-rally-idUSL4N2JM0QA,Reuters,Bitcoin hits one week low as rising U S yields dent rally Reuters,Cryptocurrencies plunged on Monday with bitcoin dropping more than 12 to a one week low as rising U S yields lifted the dollar broadly and hurt non income paying assets
Reuters Staff,Bitcoin hits one-week low as rising U.S. yields dent rally - Reuters,"Cryptocurrencies plunged on Monday, with bitcoin dropping more than 12% to a one-week low as rising U.S. yields lifted the dollar broadly and hurt non-income paying assets.",https://www.reuters.com/article/us-crypto-currency/bitcoin-hits-one-week-low-as-rising-u-s-yields-dent-rally-idUSKBN29G08M,Reuters,Bitcoin hits one week low as rising U S yields dent rally Reuters,Cryptocurrencies plunged on Monday with bitcoin dropping more than 12 to a one week low as rising U S yields lifted the dollar broadly and hurt non income paying assets
Edward Chancellor,Breakingviews - Chancellor: Was I totally wrong about bitcoin? - Reuters,"Three years ago, this column suggested that bitcoin, whose price soared 15-fold during 2017, faced a total wipeout. The cryptocurrency wasn’t money, but instead resembled the gold prospector’s fabled sardine tin: “good for trading but not for eating.” It was …",https://www.reuters.com/article/us-crypto-currency-breakingviews/breakingviews-chancellor-was-i-totally-wrong-about-bitcoin-idUSKBN29H1KT,Reuters,Breakingviews Chancellor Was I totally wrong about bitcoin Reuters,Three years ago this column suggested that bitcoin whose price soared 15 fold during 2017 faced a total wipeout The cryptocurrency wasn t money but instead resembled the gold prospector s fabled sardine tin good for trading but not for eating It was
Paul Vigna,"Bitcoin’s Hot 2021 Continues With Move Above $40,000 - The Wall Street Journal","<ol><li>Bitcoin’s Hot 2021 Continues With Move Above $40,000  The Wall Street Journal
</li><li>Bitcoin tops $40,000 -- just days after passing $30,000  CNN
</li><li>Bitcoin tops $40,000 for first time, pushing cryptocurrency market value past $1 trillion  C…",https://www.wsj.com/articles/bitcoins-hot-2021-continues-with-move-above-40-000-11610052727,The Wall Street Journal,Bitcoin s Hot 2021 Continues With Move Above 40 000 The Wall Street Journal,ol li Bitcoin s Hot 2021 Continues With Move Above 40 000 The Wall Street Journal li li Bitcoin tops 40 000 just days after passing 30 000 CNN li li Bitcoin tops 40 000 for first time pushing cryptocurrency market value past 1 trillion C
