time,close,compound,sma,ema
2021-01-26 16:00:00,31985.3,None,0.4150,0.0698
2021-01-26 17:00:00,32184.36,None,0.4150,0.0698
2021-01-26 18:00:00,32224.5,None,0.4150,0.0698
2021-01-26 19:00:00,32208.33,-0.1484,0.3775,-0.0586
2021-01-26 20:00:00,31986.99,-0.9993,0.2914,-0.4392
2021-01-26 21:00:00,31987.13,-0.7269,0.2315,-0.5307
2021-01-26 22:00:00,32733.81,-0.0643,0.2151,-0.4055
2021-01-26 23:00:00,32467.77,0.9468,0.2536,-0.0855
2021-01-27 00:00:00,32335.7,None,0.2536,-0.0855
2021-01-27 01:00:00,32084.6,None,0.2536,-0.0855
2021-01-27 02:00:00,31802.36,None,0.2536,-0.0855
2021-01-27 03:00:00,31800.86,None,0.2536,-0.0855
2021-01-27 04:00:00,31864.36,-0.0150,0.2402,-0.0625
2021-01-27 05:00:00,31503.41,-0.5574,0.2022,-0.1978
2021-01-27 06:00:00,31669.98,None,0.2022,-0.1978
2021-01-27 07:00:00,31743.33,None,0.2022,-0.1978
2021-01-27 08:00:00,31172.11,-0.5267,0.1691,-0.2951
2021-01-27 09:00:00,31201.05,-0.5859,0.1362,-0.3691
2021-01-27 10:00:00,31376.9,-0.6597,0.0651,-0.4350
2021-01-27 11:00:00,30639.05,-0.9978,0.0208,-0.5518
2021-01-27 12:00:00,30759.03,-0.0160,-0.0208,-0.4483
2021-01-27 13:00:00,30275.3,-0.5574,-0.0762,-0.4682
2021-01-27 14:00:00,29573.15,-0.3362,-0.0563,-0.4453
2021-01-27 15:00:00,30322.61,0.0737,-0.0936,-0.3586
2021-01-27 16:00:00,30529.57,-0.0175,-0.1352,-0.3035
2021-01-27 17:00:00,30514.34,-0.0144,-0.1642,-0.2580
2021-01-27 18:00:00,29709.79,0.9834,-0.1183,-0.0675
2021-01-27 19:00:00,30740.33,0.9771,-0.1146,0.0897
2021-01-27 20:00:00,31520.2,0.4062,-0.1372,0.1365
2021-01-27 21:00:00,30958.0,-0.7506,-0.1438,0.0072
2021-01-27 22:00:00,30519.93,None,-0.1914,0.0072
2021-01-27 23:00:00,30366.15,0.4108,-0.1673,0.0728
2021-01-28 00:00:00,30671.86,None,-0.1673,0.0728
2021-01-28 01:00:00,30881.94,None,-0.1673,0.0728
2021-01-28 02:00:00,30981.72,None,-0.1327,0.0728
2021-01-28 03:00:00,31404.25,None,-0.1327,0.0728
2021-01-28 04:00:00,31300.73,0.4397,-0.1098,0.1643
2021-01-28 05:00:00,31729.16,0.8934,-0.0713,0.3273
2021-01-28 06:00:00,31564.58,-0.5574,-0.1305,0.1459
2021-01-28 07:00:00,31170.53,0.7906,-0.0619,0.2692
2021-01-28 08:00:00,31070.47,0.5267,-0.0401,0.3158
2021-01-28 09:00:00,31466.91,None,-0.0401,0.3158
2021-01-28 10:00:00,31490.29,0.0534,-0.0368,0.2649
2021-01-28 11:00:00,31437.37,0.9726,-0.0019,0.3943
2021-01-28 12:00:00,31477.95,0.6434,0.0196,0.4378
2021-01-28 13:00:00,31775.12,0.2559,0.0272,0.4073
2021-01-28 14:00:00,31830.53,0.4191,0.0394,0.4092
2021-01-28 15:00:00,31926.49,0.3034,0.0474,0.3926
2021-01-28 16:00:00,32425.71,0.3082,0.0551,0.3796
2021-01-28 17:00:00,32281.49,0.9842,0.0816,0.4707
2021-01-28 18:00:00,32633.68,-0.0439,0.0782,0.3945
2021-01-28 19:00:00,32564.71,0.0000,0.0823,0.3369
2021-01-28 20:00:00,32577.96,0.3074,0.1186,0.3327
2021-01-28 21:00:00,33183.53,0.4561,0.1514,0.3503
2021-01-28 22:00:00,33469.67,0.3177,0.1621,0.3457
2021-01-28 23:00:00,33364.86,0.4547,0.1484,0.3609
2021-01-29 00:00:00,34150.23,0.3721,0.1544,0.3625
2021-01-29 01:00:00,33906.57,0.0000,0.1504,0.3123
2021-01-29 02:00:00,33969.2,-0.2064,0.1412,0.2409
2021-01-29 03:00:00,33733.58,0.0000,0.1377,0.2079
2021-01-29 04:00:00,33062.82,0.9970,0.1630,0.3157
2021-01-29 05:00:00,32980.32,0.0015,0.1770,0.2729
2021-01-29 06:00:00,32483.74,0.9325,0.1954,0.3624
2021-01-29 07:00:00,32266.35,0.0015,0.1908,0.3136
2021-01-29 08:00:00,36240.24,-0.0008,0.2033,0.2711
2021-01-29 09:00:00,36877.16,0.0015,0.2173,0.2347
2021-01-29 10:00:00,36617.23,-0.0008,0.2330,0.2030
2021-01-29 11:00:00,37025.32,0.4266,0.2669,0.2331
2021-01-29 12:00:00,37840.07,0.3280,0.2751,0.2458
2021-01-29 13:00:00,38250.03,0.4266,0.2985,0.2701
2021-01-29 14:00:00,37058.49,0.3280,0.3143,0.2778
2021-01-29 15:00:00,37129.4,0.0015,0.3126,0.2408
2021-01-29 16:00:00,36039.18,0.0015,0.3130,0.2088
2021-01-29 17:00:00,35741.23,-0.0009,0.3134,0.1807
2021-01-29 18:00:00,35202.46,-0.0008,0.2899,0.1564
2021-01-29 19:00:00,34318.57,0.0017,0.2667,0.1357
2021-01-29 20:00:00,34574.61,0.0015,0.2571,0.1178
2021-01-29 21:00:00,34635.53,0.0078,0.2751,0.1031
2021-01-29 22:00:00,34485.98,0.9985,0.2920,0.2227
2021-01-29 23:00:00,34252.2,0.2268,0.2877,0.2233
2021-01-30 00:00:00,34250.1,-0.1998,0.2766,0.1668
2021-01-30 01:00:00,34123.05,0.5719,0.2832,0.2209
2021-01-30 02:00:00,33862.51,0.9682,0.2981,0.3206
2021-01-30 03:00:00,33273.36,None,0.2981,0.3206
2021-01-30 04:00:00,33503.13,-0.0007,0.2885,0.2721
2021-01-30 05:00:00,33503.72,-0.0007,0.2690,0.2317
2021-01-30 06:00:00,33809.79,-0.5574,0.2690,0.1164
2021-01-30 07:00:00,34046.8,-0.5574,0.2397,0.0192
2021-01-30 08:00:00,33887.5,None,0.2334,0.0192
2021-01-30 09:00:00,34253.18,None,0.2334,0.0192
2021-01-30 10:00:00,34299.82,0.3433,0.2398,0.0780
2021-01-30 11:00:00,33660.4,0.3115,0.2251,0.1184
2021-01-30 12:00:00,33751.77,0.0675,0.2123,0.1099
2021-01-30 13:00:00,34237.69,0.6249,0.2205,0.1929
2021-01-30 14:00:00,34234.73,None,0.2160,0.1929
2021-01-30 15:00:00,34210.2,None,0.2140,0.1929
2021-01-30 16:00:00,33956.7,-0.0862,0.2048,0.1375
2021-01-30 17:00:00,34253.67,0.9882,0.2049,0.2960
2021-01-30 18:00:00,34340.0,-0.7906,0.1875,0.1038
2021-01-30 19:00:00,34286.5,-0.0212,0.1870,0.0826
2021-01-30 20:00:00,34154.63,None,0.1842,0.0826
2021-01-30 21:00:00,34675.53,0.3499,0.1816,0.1318
2021-01-30 22:00:00,34526.13,None,0.1783,0.1318
2021-01-30 23:00:00,34262.88,None,0.1714,0.1318
2021-01-31 00:00:00,34066.84,None,0.1663,0.1318
2021-01-31 01:00:00,34194.0,0.9970,0.1918,0.3447
