index,clean_description,clean_title,description,outlet,title,uploaded,url,publishedAt,neg,neu,pos,compound,predicted_label
0,Strong hands look to have been backing the recent rally to record highs for Ethereum s ether,Big Investors Stacked Up Ether as Price Rose to Record High,Strong hands look to have been backing the recent rally to record highs for Ethereum’s ether ...,CoinDesk via Yahoo Finance,Big Investors Stacked Up Ether as Price Rose to Record High,22 hours ago,https://finance.yahoo.com/news/big-investors-stacked-ether-price-112914975.html,2021-01-25 12:26,0.0,0.29,0.71,0.9818,pos
11,Chainlink was among the first cryptocurrency to set a new all time high in 2020 but given its,Bearish Divergence Hints At First Major Chainlink Corrective Phase,"Chainlink was among the first cryptocurrency to set a new all-time high in 2020, but given its...",NewsBTC,Bearish Divergence Hints At First Major Chainlink Corrective Phase,8 hours ago,https://www.newsbtc.com/analysis/link/massive-bearish-divergence-hints-at-first-major-chainlink-corrective-phase/,2021-01-26 02:26,0.864,0.136,0.0,-0.997,neg
20,Bitcoin s price rose on Monday after a brutal sell off that saw the virtual currency briefly dip,Bitcoin price rises as second biggest cryptocurrency ether hits all time high,Bitcoin's price rose on Monday after a brutal sell-off that saw the virtual currency briefly dip...,CNBC,Bitcoin price rises as second-biggest cryptocurrency ether hits all-time high,19 hours ago,https://www.cnbc.com/2021/01/25/bitcoin-price-latest-ethereum-hits-all-time-high-btc-rises.html,2021-01-25 15:26,0.0,0.407,0.593,0.9682,pos
44,The price of Ether ETH the native cryptocurrency of the Ethereum blockchain network achieved a,ETH breaks out vs Bitcoin What s next for Ethereum after 100 gain in January,"The price of Ether (ETH), the native cryptocurrency of the Ethereum blockchain network, achieved a...",The Cointelegraph,ETH breaks out vs. Bitcoin — What's next for Ethereum after 100% gain in January?,22 hours ago,https://cointelegraph.com/news/eth-breaks-out-vs-bitcoin-what-s-next-for-ethereum-after-100-gain-in-january,2021-01-25 12:26,0.0,0.382,0.618,0.9818,pos
53,Grayscale Investments the world s largest digital asset manager has pledged 1 million to Coin,Grayscale donates 1M to Coin Center pledges up to 1M more in matched contributions,"Grayscale Investments, the world’s largest digital-asset manager, has pledged $1 million to Coin...",The Cointelegraph,"Grayscale donates $1M to Coin Center, pledges up to $1M more in matched contributions",19 hours ago,https://cointelegraph.com/news/grayscale-donates-1m-to-coin-center-pledges-up-to-1m-more-in-matched-contributions,2021-01-25 15:26,0.0,0.684,0.316,0.7906,pos
54,While Bitcoin has cornered the cryptocurrency narrative due to its parabolic increase in 2020,Here s Why Ethereum Could Beat Bitcoin As Best Asset Of 2021,"While Bitcoin has cornered the cryptocurrency narrative due to its parabolic increase in 2020,...",International Business Times,Here's Why Ethereum Could Beat Bitcoin As Best Asset Of 2021,21 hours ago,https://www.ibtimes.com/heres-why-ethereum-could-beat-bitcoin-best-asset-2021-3129902,2021-01-25 13:26,0.0,0.573,0.427,0.7717,pos
62,The word stablecoin can be used as a logical description for a cryptocurrency designed to have,All risk no gain The vague definition of stablecoins is causing problems,"The word ""stablecoin"" can be used as a logical description for “a cryptocurrency designed to have...",The Cointelegraph,"All risk, no gain? The vague definition of stablecoins is causing problems",14 hours ago,https://cointelegraph.com/news/all-risk-no-gain-the-vague-definition-of-stablecoins-is-causing-problems,2021-01-25 20:26,0.231,0.192,0.577,0.9705,pos
74,Ether ETH the main cryptocurrency of the Ethereum blockchain rose early Monday to a new all time,First Mover Bitcoin Flushes Weak Hands as Ethereum Hits New All Time High,"Ether (ETH), the main cryptocurrency of the Ethereum blockchain, rose early Monday to a new all-time...",CoinDesk via Yahoo Finance,First Mover: Bitcoin Flushes ‘Weak Hands’ as Ethereum Hits New All-Time High,19 hours ago,https://finance.yahoo.com/news/first-mover-bitcoin-flushes-weak-135843220.html,2021-01-25 15:26,0.097,0.368,0.535,0.959,pos
86,Strong hands look to be backing the recent rally to record highs for Ethereum s ether cryptocurrency The increased accumulation by investors with deep pockets may have put,Big Investors Stacked up Ether as Price Rose to Record High CoinDesk,Strong hands look to be backing the recent rally to record highs for Ethereum’s ether cryptocurrency. The increased accumulation by investors with deep pockets may have put ...,Coindesk,Big Investors Stacked up Ether as Price Rose to Record High - CoinDesk,22 hours ago,https://www.coindesk.com/big-investors-stacked-up-ether-as-price-rose-to-record-high,2021-01-25 12:26,0.0,0.312,0.688,0.9818,pos
97,After months of writing about Bitcoin I have finally taken the plunge and bought some of the,I ve been convinced to buy Bitcoin the odds are in my favour,"After months of writing about Bitcoin, I have finally taken the plunge and bought some of the...",The Telegraph via Yahoo News,I've been convinced to buy Bitcoin – the odds are in my favour,17 hours ago,https://www.yahoo.com/finance/news/ive-convinced-buy-bitcoin-odds-163151167.html,2021-01-25 17:26,0.0,0.641,0.359,0.6808,pos
