max_scores,min_scores,final_scores,SMA
0.9766,0.0,0.9766,0.9766
,,,0.9766
0.9818,0.0,0.9818,0.9792000000000001
0.7717,0.0,0.7717,0.9100333333333334
0.0,-0.8126,-0.8126,0.47937500000000005
0.9682,0.0,0.9682,0.57714
0.9818,0.0,0.9818,0.6445833333333333
0.6808,0.0,0.6808,0.6497571428571428
,,,0.6497571428571428
0.8862,-0.8074,0.07879999999999998,0.5783874999999999
0.9705,0.0,0.9705,0.6219555555555556
0.0,-0.5859,-0.5859,0.50117
0.9986,0.0,0.9986,0.546390909090909
0.9468,0.0,0.9468,0.5797583333333333
,,,0.5797583333333333
,,,0.5797583333333333
0.0,-0.997,-0.997,0.45846923076923074
,,,0.45846923076923074
,,,0.45846923076923074
,,,0.45846923076923074
0.9840000000000001,0.0,0.9840000000000001,0.4960071428571428
0.0,-0.9944,-0.9944,0.39664666666666665
0.9840000000000001,0.0,0.9840000000000001,0.43335625
,,,0.43335625
,,,0.43335625
,,,0.43335625
,,,0.43335625
,,,0.43335625
,,,0.43335625
,,,0.43335625
,,,0.43335625
,,,0.43335625
,,,0.43335625
0.659,0.0,0.659,0.4466294117647059
0.0,-0.9993,-0.9993,0.3663
0.0,-0.7269,-0.7269,0.30876315789473685
0.9325,-0.9968,-0.06430000000000002,0.29011
0.7906,0.0,0.7906,0.3139428571428572
,,,0.3139428571428572
,,,0.3139428571428572
,,,0.28081
,,,0.28081
0.9847,-0.9997,-0.015000000000000013,0.23097000000000004
0.0,-0.5574,-0.5574,0.16451500000000002
,,,0.2159421052631579
,,,0.17415
0.0,-0.5267,-0.5267,0.09034444444444445
0.0,-0.5859,-0.5859,0.01997222222222224
0.0,-0.6597,-0.6597,-0.015799999999999984
0.0,-0.9978,-0.9978,-0.07246315789473683
0.9818,-0.9978,-0.016000000000000014,-0.12438421052631578
0.0,-0.5574,-0.5574,-0.12288421052631576
0.5719,-0.9081,-0.33620000000000005,-0.19313684210526313
0.9818,-0.9081,0.07369999999999999,-0.2390894736842105
0.9818,-0.9993,-0.01749999999999996,-0.22800999999999996
0.9834,-0.9978,-0.014399999999999968,-0.21783809523809522
0.9834,0.0,0.9834,-0.1235333333333333
0.9771,0.0,0.9771,-0.07350454545454542
0.9781,-0.5719,0.4062,-0.052647826086956485
0.0,-0.7506,-0.7506,-0.08172916666666663
,,,-0.1280652173913043
0.9682,-0.5574,0.41079999999999994,-0.06696956521739127
,,,-0.11474090909090906
,,,-0.11474090909090906
,,,-0.11474090909090906
,,,-0.11474090909090906
0.9971,-0.5574,0.4397,-0.09063478260869562
0.8934,0.0,0.8934,-0.0496333333333333
0.0,-0.5574,-0.5574,-0.06994399999999996
0.7906,0.0,0.7906,-0.03684615384615382
0.5267,0.0,0.5267,-0.01597407407407405
,,,-0.01597407407407405
0.9985,-0.9451,0.0534,-0.013496428571428548
0.9726,0.0,0.9726,-0.0022964285714285487
0.6434,0.0,0.6434,0.05637142857142859
0.991,-0.7351,0.2559,0.0914714285714286
0.991,-0.5719,0.41910000000000003,0.10873571428571431
0.9842,-0.6808,0.3034,0.09133571428571431
0.9990000000000001,-0.6908,0.30820000000000014,0.09881379310344832
0.9842,0.0,0.9842,0.1283266666666667
0.6369,-0.6808,-0.04389999999999994,0.12277096774193552
0.5106,-0.5106,0.0,0.11893437500000004
0.9882,-0.6808,0.3074,0.12900937500000004
0.9984,-0.5423,0.45609999999999995,0.16068125000000005
0.9985,-0.6808,0.3177000000000001,0.165439393939394
0.997,-0.5423,0.4547,0.17394705882352945
0.997,-0.6249,0.3721,0.2003823529411765
0.997,-0.997,0.0,0.217614705882353
0.7906,-0.997,-0.20640000000000003,0.23094705882352942
0.997,-0.997,0.0,0.26029411764705884
0.997,0.0,0.997,0.2900882352941177
0.9985,-0.997,0.0015000000000000568,0.30652647058823534
0.9325,0.0,0.9325,0.3438411764705882
0.9985,-0.997,0.0015000000000000568,0.3417176470588235
0.9985,-0.9993,-0.0007999999999999119,0.34220882352941173
0.9985,-0.997,0.0015000000000000568,0.3426764705882353
0.9985,-0.9993,-0.0007999999999999119,0.31372941176470587
0.9985,-0.5719,0.4266000000000001,0.29753823529411766
0.9985,-0.6705,0.32800000000000007,0.29523823529411763
0.9985,-0.5719,0.4266000000000001,0.32986176470588235
0.9985,-0.6705,0.32800000000000007,0.32980857142857145
0.9985,-0.997,0.0015000000000000568,0.31811428571428574
0.9985,-0.997,0.0015000000000000568,0.3093194444444445
0.9984,-0.9993,-0.0009000000000000119,0.30093513513513515
0.9985,-0.9993,-0.0007999999999999119,0.2929947368421053
0.9985,-0.9968,0.0017000000000000348,0.28552564102564104
0.9985,-0.997,0.0015000000000000568,0.2742897435897436
0.9984,-0.9906,0.007799999999999918,0.2515820512820513
0.9985,0.0,0.9985,0.2914769230769231
0.9985,-0.7717,0.2268,0.2770205128205128
0.5719,-0.7717,-0.1998000000000001,0.2583923076923077
0.5719,0.0,0.5719,0.26623
0.9682,0.0,0.9682,0.2891
,,,0.271574358974359
0.9990000000000001,-0.9997,-0.0006999999999999229,0.25505897435897434
0.9990000000000001,-0.9997,-0.0006999999999999229,0.24847948717948717
0.0,-0.5574,-0.5574,0.22344102564102564
0.0,-0.5574,-0.5574,0.20136923076923077
,,,0.19855789473684213
,,,0.17732432432432432
0.8689,-0.5256,0.34330000000000005,0.1877891891891892
0.8689,-0.5574,0.3115,0.1962081081081081
0.6249,-0.5574,0.0675,0.1897243243243243
0.6249,0.0,0.6249,0.19428648648648647
,,,0.1908583333333333
,,,0.18331999999999998
0.9136,-0.9998,-0.08620000000000005,0.17022571428571429
0.9882,0.0,0.9882,0.19846
0.0,-0.7906,-0.7906,0.18176857142857145
0.9786,-0.9998,-0.021199999999999997,0.18116285714285715
,,,0.15716764705882352
0.9985,-0.6486,0.3499000000000001,0.16741470588235294
,,,0.14423030303030301
,,,0.148690625
,,,0.15351290322580644
0.997,0.0,0.997,0.1856258064516129
,,,0.19183999999999998
0.7906,0.0,0.7906,0.2039733333333333
,,,0.1996965517241379
0.997,0.0,0.997,0.2193655172413793
,,,0.21548571428571425
,,,0.22341111111111106
,,,0.2319461538461538
0.5574,0.0,0.5574,0.25341923076923073
0.0,-0.9993,-0.9993,0.21501538461538458
0.5106,-0.9618,-0.45119999999999993,0.1975961538461538
0.9682,-0.9618,0.006399999999999961,0.19778461538461536
0.6124,-0.885,-0.27259999999999995,0.187
0.6124,0.0,0.6124,0.17215
0.9732,-0.6486,0.3246,0.17591153846153848
0.7906,0.0,0.7906,0.21400384615384616
0.5719,-0.8126,-0.24070000000000003,0.18274999999999997
0.0,-0.9993,-0.9993,0.10707692307692306
0.9905,-0.5574,0.43310000000000004,0.11915185185185183
0.0,-0.9325,-0.9325,0.08464074074074072
,,,0.08792307692307691
,,,0.11373599999999998
,,,0.14169999999999996
,,,0.14169999999999996
0.9682,-0.5574,0.41079999999999994,0.152464
,,,0.14451249999999996
,,,0.13725217391304345
0.9990000000000001,-0.5267,0.47230000000000016,0.15485217391304346
,,,0.1334863636363636
0.0,-0.5574,-0.5574,0.10344782608695649
0.6705,-0.5574,0.11309999999999998,0.10384999999999996
0.6124,-0.5574,0.05500000000000005,0.10973333333333331
0.6124,0.0,0.6124,0.09407499999999998
0.0,-0.9968,-0.9968,0.08548333333333331
0.9682,-0.5994,0.3687999999999999,0.1017333333333333
