title,outlet,uploaded,description,url,clean_title,clean_description
Latest Ripple price and analysis (XRP to USD),Coin Rivet via Yahoo Finance,4 days ago,"The world’s fifth largest cryptocurrency, which fell behind Polkadot in terms of market cap last week, is still reeling following December’s SEC lawsuit...",https://finance.yahoo.com/news/latest-ripple-price-analysis-xrp-153301629.html,Latest Ripple price and analysis XRP to USD,The world s fifth largest cryptocurrency which fell behind Polkadot in terms of market cap last week is still reeling following December s SEC lawsuit
Bitcoin Price Sees Largest Daily Loss in 10 Months,CoinDesk via Yahoo Finance,3 days ago,"Bitcoin ended Thursday down 13%, posting its largest daily drop since the market crash of March 2020. The leading cryptocurrency's drop is “probably just...",https://finance.yahoo.com/news/bitcoin-price-sees-largest-daily-000400006.html,Bitcoin Price Sees Largest Daily Loss in 10 Months,Bitcoin ended Thursday down 13 posting its largest daily drop since the market crash of March 2020 The leading cryptocurrency s drop is probably just
"Ethereum surges near all-time highs, may rally 650% to $10,500: analysts",Yahoo Finance via AOL,5 days ago,"Following bitcoin’s surge to hit a new all-time high earlier in January, ethereum, the second...",https://www.aol.com/ethereum-surges-time-highs-could-145433128.html,Ethereum surges near all time highs may rally 650 to 10 500 analysts,Following bitcoin s surge to hit a new all time high earlier in January ethereum the second
"Bitcoin Return to $40,000 in Doubt as Flows to Key Fund Slow",Bloomberg via Yahoo Finance,4 hours ago,The pace of flows into the $20 billion Grayscale Bitcoin Trust “appears to have peaked” based on...,https://finance.yahoo.com/news/bitcoin-return-40-000-doubt-030615269.html,Bitcoin Return to 40 000 in Doubt as Flows to Key Fund Slow,The pace of flows into the 20 billion Grayscale Bitcoin Trust appears to have peaked based on
Bitcoin Is Pricey and Headed for a Crash – Consider These Smart Crypto Alternatives,GOBankingRates via Yahoo Finance,3 days ago,"In the past year, cryptocurrency Bitcoin has more than quadrupled in value, with 300% gains since...",https://finance.yahoo.com/news/bitcoin-pricey-headed-crash-consider-230539683.html,Bitcoin Is Pricey and Headed for a Crash Consider These Smart Crypto Alternatives,In the past year cryptocurrency Bitcoin has more than quadrupled in value with 300 gains since
"Bitcoin Faces Further Losses Before Rally Restarts, Say Analysts",CoinDesk via Yahoo Finance,3 days ago,"Bitcoin’s shorter-term price woes are likely not over yet, analysts say, with one predicting a...",https://finance.yahoo.com/news/bitcoin-faces-further-losses-rally-114016219.html,Bitcoin Faces Further Losses Before Rally Restarts Say Analysts,Bitcoin s shorter term price woes are likely not over yet analysts say with one predicting a
Ethereum’s Road to $2K: 3 Reasons to Be Bullish,CoinDesk via Yahoo Finance,3 days ago,"Now, with Ethereum heading closer towards uncharted territory, all eyes will be on the second-largest cryptocurrency hitting its next major milestone,...",https://finance.yahoo.com/news/ethereum-road-2k-3-reasons-151245011.html,Ethereum s Road to 2K 3 Reasons to Be Bullish,Now with Ethereum heading closer towards uncharted territory all eyes will be on the second largest cryptocurrency hitting its next major milestone
Biggest Crypto Fund’s 40% Premium Evaporates During Meltdown,Bloomberg via Yahoo Finance,3 days ago,"As a result, GBTC’s premium to its underlying holdings -- which swelled to 40% in December as the ...",https://finance.yahoo.com/news/biggest-crypto-fund-40-premium-180615081.html,Biggest Crypto Fund s 40 Premium Evaporates During Meltdown,As a result GBTC s premium to its underlying holdings which swelled to 40 in December as the
Market Wrap: Bitcoin Descends to $31K as Ether Funding Rates Drop,CoinDesk via Yahoo Finance,4 days ago,"Bitcoin has suffered two straight days of selling, bringing the price close to below $31,000. The...",https://finance.yahoo.com/news/market-wrap-bitcoin-descends-31k-213744641.html,Market Wrap Bitcoin Descends to 31K as Ether Funding Rates Drop,Bitcoin has suffered two straight days of selling bringing the price close to below 31 000 The
"Bitcoin Steady as Analysts Say Getting Back to $40,000 Is Key",Bloomberg via Yahoo Finance,7 days ago,"Bitcoin hovered near $36,000 on Monday, below a level that strategists at JPMorgan Chase & Co. see...",https://finance.yahoo.com/news/bitcoin-retreats-40-000-level-113652043.html,Bitcoin Steady as Analysts Say Getting Back to 40 000 Is Key,Bitcoin hovered near 36 000 on Monday below a level that strategists at JPMorgan Chase Co see
