index,clean_description,clean_title,description,outlet,title,uploaded,url,date,neg,neu,pos,compound,predicted_label
20,CoinMetro a popular Estonia based cryptocurrency exchange platform has gained a lot of ground in the past one year despite the ongoing pandemic causing a widespread disruption,After an Impressive Performance in 2020 the New Year Starts with a Huge Bang for CoinMetro,"CoinMetro, a popular Estonia-based cryptocurrency exchange platform has gained a lot of ground in the past one year, despite the ongoing pandemic causing a widespread disruption ...",NewsBTC,"After an Impressive Performance in 2020, the New Year Starts with a Huge Bang for CoinMetro",3 hours ago,https://www.newsbtc.com/sponsored/after-an-impressive-performance-in-2020-the-new-year-starts-with-a-huge-bang-for-coinmetro/,2021-01-25,0.0,0.699,0.301,0.6808,pos
25,Against great push back from the crypto industry and as the price of Bitcoin BTC reached new all time highs several times during the last couple of,The United States updates its crypto AML CFT laws,Against great push back from the crypto industry and as the price of Bitcoin (BTC) reached new all-time highs several times during the last couple of...,The Cointelegraph,The United States updates its crypto AML/CFT laws,19 hours ago,https://cointelegraph.com/news/the-united-states-updates-its-crypto-aml-cft-laws,2021-01-25,0.0,0.469,0.531,0.8374,pos
34,Ethereum ETH the world s second largest cryptocurrency in terms of market capitalization hit an,Ethereum Hits All Time High Again As Bitcoin Remains Muted,"Ethereum (ETH), the world’s second-largest cryptocurrency in terms of market capitalization, hit an...",Benzinga,Ethereum Hits All-Time High (Again) As Bitcoin Remains Muted,9 hours ago,https://www.benzinga.com/markets/cryptocurrency/21/01/19289858/ethereum-hits-all-time-high-again-as-bitcoin-remains-muted,2021-01-25,0.0,0.36,0.64,0.9682,pos
42,Bitcoin fell back below the 32 000 support level on Sunday as the cryptocurrency s trading range,Bitcoin falls back below 32 000 as prices struggle to find steady support,"Bitcoin fell back below the $32,000 support level on Sunday as the cryptocurrency's trading range...",Business Insider,"Bitcoin falls back below $32,000 as prices struggle to find steady support",17 hours ago,https://www.businessinsider.com/bitcoin-price-today-btc-cryptocurrency-market-trading-support-token-blockchain-2021-1,2021-01-25,0.891,0.086,0.023,-0.9992,neg
47,Ex Real Madrid player David Barral is a new acquisition for the club facilitated by the,Hat trick hero Empty stadiums get blockchain and soccer to play together,Ex-Real Madrid player David Barral is a new acquisition for the club facilitated by the ...,The Cointelegraph,Hat-trick hero: Empty stadiums get blockchain and soccer to play together,20 hours ago,https://cointelegraph.com/news/hat-trick-hero-empty-stadiums-get-blockchain-and-soccer-to-play-together,2021-01-25,0.176,0.471,0.353,0.6124,pos
54,Grayscale s Bitcoin Trust falls by 22 in 14 days suggesting that the institutional force behind,Bitcoin Price Prediction BTC rally back to 40 000 in jeopardy as Grayscale s demand diminishes,"Grayscale’s Bitcoin Trust falls by 22% in 14 days, suggesting that the institutional force behind...",The Forex Market,"Bitcoin Price Prediction: BTC rally back to $40,000 in jeopardy as Grayscale’s demand diminishes",5 hours ago,https://www.fxstreet.com/cryptocurrencies/news/bitcoin-price-prediction-btc-rally-back-to-40-000-in-jeopardy-as-grayscales-demand-diminishes-202101250557,2021-01-25,0.141,0.368,0.491,0.9545,pos
111,Chainlink LINK one of many contenders in the world of cryptocurrencies hit an all time high this weekend What Happened Coindesk reports that Chainlink hit a record high of,Cryptocurrency Chainlink Reaches All Time High,"Chainlink (LINK), one of many contenders in the world of cryptocurrencies, hit an all-time high this weekend. What Happened: Coindesk reports that Chainlink hit a record high of $...",Benzinga,Cryptocurrency Chainlink Reaches All-Time High,17 hours ago,https://www.benzinga.com/markets/cryptocurrency/21/01/19288626/cryptocurrency-chainlink-reaches-all-time-high,2021-01-25,0.0,0.189,0.811,0.969,pos
140,The price of ether ETH the native cryptocurrency of the Ethereum blockchain network soared to,Ethereum s Ether Cryptocurrency Sets New All Time Price High Above 1 450,"The price of ether (ETH), the native cryptocurrency of the Ethereum blockchain network, soared to...",CoinDesk via Yahoo Finance,"Ethereum’s Ether Cryptocurrency Sets New All-Time Price High Above $1,450",10 hours ago,https://finance.yahoo.com/news/ethereum-ether-cryptocurrency-sets-time-003919659.html,2021-01-25,0.0,0.385,0.615,0.9682,pos
473,Ethereum and the aggregated altcoin market is performing quite well as Bitcoin s price action,Ethereum is About to Post a Massively Bullish Signal as Bulls Take Charge,Ethereum and the aggregated altcoin market is performing quite well as Bitcoin’s price action...,NewsBTC,Ethereum is About to Post a Massively Bullish Signal as Bulls Take Charge,15 hours ago,https://www.newsbtc.com/analysis/eth/ethereum-is-about-to-post-a-massively-bullish-signal-as-bulls-take-charge/,2021-01-25,0.0,0.139,0.861,0.9979,pos
474,NEW YORK Jan 25 2021 PRNewswire Standard Hashrate Group SHG is an open platform where prominent miners standardize and tokenize their BTC hashrate,Standard Hashrate Group Welcomes Atlas Mining BTC TOP Easy2Mine Genesis Mining And Hengjia Group,"NEW YORK, Jan. 25, 2021 /PRNewswire/ -- Standard Hashrate Group (""SHG"") is an open platform where prominent miners standardize and tokenize their BTC hashrate.",TheStreet.com,"Standard Hashrate Group Welcomes Atlas Mining, BTC.TOP, Easy2Mine, Genesis Mining And Hengjia Group...",3 hours ago,https://www.thestreet.com/press-releases/standard-hashrate-group-welcomes-atlas-mining-btc-top-easy2mine-genesis-mining-and-hengjia-group-to-btcst-15546501,2021-01-25,0.0,0.696,0.304,0.6408,pos
